Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
merge-expmx(d=-1),4,157.51,286.98,4,4,4,4,4,4,4,4,2,1,0,0,0,0,132976,26522,6683,1433.5
merge-expmx(d=0),4,5.621,17.815,4,4,4,4,4,4,4,4,4,0,0,0,0,0,128712,34434,6619,1752
merge-expmx(d=1),50,0.004,0.012,50,50,50,50,47,26,4,0,0,0,0,0,0,0,137436,2518,11899,225.5
merge-expmx(d=2),25,0.13,0.483,25,25,25,25,25,25,21,8,0,0,0,0,0,0,200068,7108,12967,493
merge-expmx(d=3),10,5.253,18.367,10,10,10,10,10,10,10,8,4,0,0,0,0,0,193228,16334,10639,965.5
merge-expmx(p=0.500000),50,0.017,0.064,50,50,50,50,49,47,39,8,0,0,0,0,0,0,342632,6342,23067,438
merge-expmx(p=0.100000),50,3.676,14.572,50,50,50,50,50,50,48,23,0,0,0,0,0,0,498336,7986,31376,552
merge-expmx(p=0.050000),25,35.996,116.643,25,25,25,25,25,25,23,15,2,0,0,0,0,0,305604,12192,18330,723
