Strategy,Games,Time,Parallel,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072
monte_carlo (t=500),100,467.414,true,100,100,100,100,100,100,100,100,95,42,0,0,0,0,0
