Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
merge-mnmx(d=-1),4,41.967,72.077,4,4,4,4,4,4,3,1,0,0,0,0,0,0,31660,6282,2082,434
merge-mnmx(d=0),4,1.27,3.127,4,4,4,4,4,4,3,0,0,0,0,0,0,0,24412,7140,1716,493
merge-mnmx(d=1),50,0.004,0.014,50,50,50,50,47,31,2,0,0,0,0,0,0,0,137124,2868,11947,250.5
merge-mnmx(d=2),25,0.07,0.256,25,25,25,25,25,25,14,6,0,0,0,0,0,0,157100,6628,10516,453
merge-mnmx(d=3),10,1.163,3.908,10,10,10,10,10,9,9,3,1,0,0,0,0,0,93468,7084,5764,487.5
merge-mnmx(d=4),4,14.983,47.538,4,4,4,4,4,4,4,1,0,0,0,0,0,0,32980,7056,2144,477
