Strategy,Games,Time,Parallel,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072
corner,200000,3.387,false,200000,200000,199946,197616,170533,85805,9648,22,0,0,0,0,0,0,0
