Strategy,Games,Time,Parallel,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072
merge(d=3 t=1),5000,5.677,true,5000,5000,5000,5000,4999,4981,4527,2035,33,0,0,0,0,0,0
